"","TIME","GEO","PRODUCT","INDIC_NRG","Value"
"150","2000","Denmark","Nuclear heat","Gross inland consumption",0
"151","2000","Denmark","Derived heat","Imports",144
"152","2000","Denmark","Derived heat","Exports",0
"153","2000","Denmark","Derived heat","Gross inland consumption",144
"154","2000","Denmark","Renewable energies","Imports",2466
"155","2000","Denmark","Renewable energies","Exports",0
"156","2000","Denmark","Renewable energies","Gross inland consumption",75238
"157","2000","Denmark","Electrical energy","Imports",30301
"158","2000","Denmark","Electrical energy","Exports",27907
"159","2000","Denmark","Electrical energy","Gross inland consumption",2394
"160","2000","Denmark","Waste (non-renewable)","Imports",0
"161","2000","Denmark","Waste (non-renewable)","Exports",0
"162","2000","Denmark","Waste (non-renewable)","Gross inland consumption",13676
"163","2000","Germany","All products","Imports",9845766
"164","2000","Germany","All products","Exports",1275147
"165","2000","Germany","All products","Gross inland consumption",14332812
"166","2000","Germany","Solid fuels","Imports",929548
"167","2000","Germany","Solid fuels","Exports",22570
"168","2000","Germany","Solid fuels","Gross inland consumption",3550480
"169","2000","Germany","Total petroleum products","Imports",6196207
"170","2000","Germany","Total petroleum products","Exports",924262
"171","2000","Germany","Total petroleum products","Gross inland consumption",5483851
"172","2000","Germany","Gas","Imports",2557527
"173","2000","Germany","Gas","Exports",176693
"174","2000","Germany","Gas","Gross inland consumption",3009370
"175","2000","Germany","Nuclear heat","Imports",NA
"176","2000","Germany","Nuclear heat","Exports",NA
"177","2000","Germany","Nuclear heat","Gross inland consumption",1831745
"178","2000","Germany","Derived heat","Imports",0
"179","2000","Germany","Derived heat","Exports",144
"180","2000","Germany","Derived heat","Gross inland consumption",-144
"181","2000","Germany","Renewable energies","Imports",0
"182","2000","Germany","Renewable energies","Exports",0
"183","2000","Germany","Renewable energies","Gross inland consumption",376113
"184","2000","Germany","Electrical energy","Imports",162482
"185","2000","Germany","Electrical energy","Exports",151477
"186","2000","Germany","Electrical energy","Gross inland consumption",11005
"187","2000","Germany","Waste (non-renewable)","Imports",0
"188","2000","Germany","Waste (non-renewable)","Exports",0
"189","2000","Germany","Waste (non-renewable)","Gross inland consumption",70391
"190","2000","Estonia","All products","Imports",81534
"191","2000","Estonia","All products","Exports",13158
"192","2000","Estonia","All products","Gross inland consumption",208218
"193","2000","Estonia","Solid fuels","Imports",13686
"194","2000","Estonia","Solid fuels","Exports",2402
"195","2000","Estonia","Solid fuels","Gross inland consumption",124247
"196","2000","Estonia","Total petroleum products","Imports",38784
"197","2000","Estonia","Total petroleum products","Exports",5876
"198","2000","Estonia","Total petroleum products","Gross inland consumption",38126
"199","2000","Estonia","Gas","Imports",27717
"200","2000","Estonia","Gas","Exports",0
"201","2000","Estonia","Gas","Gross inland consumption",27717
"202","2000","Estonia","Nuclear heat","Imports",NA
"203","2000","Estonia","Nuclear heat","Exports",NA
"204","2000","Estonia","Nuclear heat","Gross inland consumption",0
"205","2000","Estonia","Derived heat","Imports",0
"206","2000","Estonia","Derived heat","Exports",0
"207","2000","Estonia","Derived heat","Gross inland consumption",0
"208","2000","Estonia","Renewable energies","Imports",0
"209","2000","Estonia","Renewable energies","Exports",190
"210","2000","Estonia","Renewable energies","Gross inland consumption",21472
"211","2000","Estonia","Electrical energy","Imports",1346
"212","2000","Estonia","Electrical energy","Exports",4691
"213","2000","Estonia","Electrical energy","Gross inland consumption",-3344
"214","2000","Estonia","Waste (non-renewable)","Imports",0
"215","2000","Estonia","Waste (non-renewable)","Exports",0
"216","2000","Estonia","Waste (non-renewable)","Gross inland consumption",0
"217","2000","Ireland","All products","Imports",575532
"218","2000","Ireland","All products","Exports",57623
"219","2000","Ireland","All products","Gross inland consumption",603998
"220","2000","Ireland","Solid fuels","Imports",71044
"221","2000","Ireland","Solid fuels","Exports",649
"222","2000","Ireland","Solid fuels","Gross inland consumption",108907
"223","2000","Ireland","Total petroleum products","Imports",400147
"224","2000","Ireland","Total petroleum products","Exports",56718
"225","2000","Ireland","Total petroleum products","Gross inland consumption",341046
"226","2000","Ireland","Gas","Imports",103733
"227","2000","Ireland","Gas","Exports",0
"228","2000","Ireland","Gas","Gross inland consumption",143856
"229","2000","Ireland","Nuclear heat","Imports",NA
