"","TIME","GEO","PRODUCT","Proizvodnja/zaloga"
"181","2000","Luxembourg","All products",-2904
"182","2000","Luxembourg","Derived heat",0
"183","2000","Luxembourg","Electrical energy",-2653
"184","2000","Luxembourg","Gas",0
"185","2000","Luxembourg","Nuclear heat",NA
"186","2000","Luxembourg","Renewable energies",1628
"187","2000","Luxembourg","Solid fuels",0
"188","2000","Luxembourg","Total petroleum products",-2916
"189","2000","Luxembourg","Waste (non-renewable)",1037
"190","2000","Malta","All products",-27489
"191","2000","Malta","Derived heat",0
"192","2000","Malta","Electrical energy",0
"193","2000","Malta","Gas",NA
"194","2000","Malta","Nuclear heat",NA
"195","2000","Malta","Renewable energies",0
"196","2000","Malta","Solid fuels",NA
"197","2000","Malta","Total petroleum products",-27489
"198","2000","Malta","Waste (non-renewable)",0
"199","2000","Netherlands","All products",-2292577
"200","2000","Netherlands","Derived heat",0
"201","2000","Netherlands","Electrical energy",-14512
"202","2000","Netherlands","Gas",943379
"203","2000","Netherlands","Nuclear heat",NA
"204","2000","Netherlands","Renewable energies",55795
"205","2000","Netherlands","Solid fuels",-261385
"206","2000","Netherlands","Total petroleum products",-3082511
"207","2000","Netherlands","Waste (non-renewable)",24255
"208","2000","Norway","All products",872032
"209","2000","Norway","Derived heat",0
"210","2000","Norway","Electrical energy",-73904
"211","2000","Norway","Gas",173524
"212","2000","Norway","Nuclear heat",NA
"213","2000","Norway","Renewable energies",564427
"214","2000","Norway","Solid fuels",2704
"215","2000","Norway","Total petroleum products",202120
"216","2000","Norway","Waste (non-renewable)",3161
"217","2000","Poland","All products",2500551
"218","2000","Poland","Derived heat",0
"219","2000","Poland","Electrical energy",-34787
"220","2000","Poland","Gas",139135
"221","2000","Poland","Nuclear heat",NA
"222","2000","Poland","Renewable energies",159164
"223","2000","Poland","Solid fuels",2314111
"224","2000","Poland","Total petroleum products",-81385
"225","2000","Poland","Waste (non-renewable)",4313
"226","2000","Portugal","All products",58461
"227","2000","Portugal","Derived heat",0
"228","2000","Portugal","Electrical energy",-13561
"229","2000","Portugal","Gas",1639
"230","2000","Portugal","Nuclear heat",NA
"231","2000","Portugal","Renewable energies",157395
"232","2000","Portugal","Solid fuels",-6835
"233","2000","Portugal","Total petroleum products",-83826
"234","2000","Portugal","Waste (non-renewable)",3647
"235","2000","Romania","All products",1073556
"236","2000","Romania","Derived heat",0
"237","2000","Romania","Electrical energy",-5292
"238","2000","Romania","Gas",459213
"239","2000","Romania","Nuclear heat",NA
"240","2000","Romania","Renewable energies",169170
"241","2000","Romania","Solid fuels",232756
"242","2000","Romania","Total petroleum products",154763
"243","2000","Romania","Waste (non-renewable)",4021
"244","2000","Slovakia","All products",108720
"245","2000","Slovakia","Derived heat",0
"246","2000","Slovakia","Electrical energy",-31130
"247","2000","Slovakia","Gas",2911
"248","2000","Slovakia","Nuclear heat",NA
"249","2000","Slovakia","Renewable energies",20437
"250","2000","Slovakia","Solid fuels",33645
"251","2000","Slovakia","Total petroleum products",-108753
"252","2000","Slovakia","Waste (non-renewable)",13473
"253","2000","Slovenia","All products",97551
"254","2000","Slovenia","Derived heat",0
"255","2000","Slovenia","Electrical energy",-19991
"256","2000","Slovenia","Gas",253
"257","2000","Slovenia","Nuclear heat",NA
"258","2000","Slovenia","Renewable energies",32975
"259","2000","Slovenia","Solid fuels",44402
"260","2000","Slovenia","Total petroleum products",-11521
"261","2000","Slovenia","Waste (non-renewable)",14
"262","2000","Spain","All products",653207
"263","2000","Spain","Derived heat",0
"264","2000","Spain","Electrical energy",-28177
"265","2000","Spain","Gas",-6787
"266","2000","Spain","Nuclear heat",NA
"267","2000","Spain","Renewable energies",285333
"268","2000","Spain","Solid fuels",317826
"269","2000","Spain","Total petroleum products",-594749
"270","2000","Spain","Waste (non-renewable)",7936
"271","2000","Sweden","All products",677610
"272","2000","Sweden","Derived heat",0
"273","2000","Sweden","Electrical energy",-49068
"274","2000","Sweden","Gas",1687
"275","2000","Sweden","Nuclear heat",NA
"276","2000","Sweden","Renewable energies",617182
"277","2000","Sweden","Solid fuels",863
"278","2000","Sweden","Total petroleum products",-525649
"279","2000","Sweden","Waste (non-renewable)",13583
"280","2000","United Kingdom","All products",5984662
"281","2000","United Kingdom","Derived heat",0
"282","2000","United Kingdom","Electrical energy",-483
"283","2000","United Kingdom","Gas",3574904
"284","2000","United Kingdom","Nuclear heat",NA
"285","2000","United Kingdom","Renewable energies",94779
"286","2000","United Kingdom","Solid fuels",891021
"287","2000","United Kingdom","Total petroleum products",497846
"288","2000","United Kingdom","Waste (non-renewable)",7913
"289","2001","Austria","All products",303626
"290","2001","Austria","Derived heat",0
"291","2001","Austria","Electrical energy",-51307
"292","2001","Austria","Gas",66577
"293","2001","Austria","Nuclear heat",NA
"294","2001","Austria","Renewable energies",272601
"295","2001","Austria","Solid fuels",15055
"296","2001","Austria","Total petroleum products",-11931
"297","2001","Austria","Waste (non-renewable)",12631
"298","2001","Belgium","All products",-695279
"299","2001","Belgium","Derived heat",0
"300","2001","Belgium","Electrical energy",-24163
"301","2001","Belgium","Gas",1917
"302","2001","Belgium","Nuclear heat",NA
"303","2001","Belgium","Renewable energies",25230
"304","2001","Belgium","Solid fuels",-76474
"305","2001","Belgium","Total petroleum products",-1144505
"306","2001","Belgium","Waste (non-renewable)",22146
"307","2001","Bulgaria","All products",318532
"308","2001","Bulgaria","Derived heat",0
"309","2001","Bulgaria","Electrical energy",-28861
"310","2001","Bulgaria","Gas",299
"311","2001","Bulgaria","Nuclear heat",NA
"312","2001","Bulgaria","Renewable energies",28983
"313","2001","Bulgaria","Solid fuels",194444
"314","2001","Bulgaria","Total petroleum products",-88142
"315","2001","Bulgaria","Waste (non-renewable)",41
"316","2001","Croatia","All products",111606
"317","2001","Croatia","Derived heat",0
"318","2001","Croatia","Electrical energy",-4399
"319","2001","Croatia","Gas",59884
"320","2001","Croatia","Nuclear heat",NA
"321","2001","Croatia","Renewable energies",71676
"322","2001","Croatia","Solid fuels",1462
"323","2001","Croatia","Total petroleum products",-17219
"324","2001","Croatia","Waste (non-renewable)",202
"325","2001","Cyprus","All products",-3337
"326","2001","Cyprus","Derived heat",0
"327","2001","Cyprus","Electrical energy",0
"328","2001","Cyprus","Gas",NA
